Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfilment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,SEO Title,SEO Description,Status,Metafield: supplement.form [single_line_text_field],Metafield: supplement.servings [number_integer],Metafield: supplement.recommended_daily_portion [single_line_text_field],Metafield: supplement.ingredients_draft [multi_line_text_field],Metafield: supplement.allergens_draft [single_line_text_field],Metafield: supplement.cautions_draft [multi_line_text_field],Metafield: supplement.image_packshot [single_line_text_field],Metafield: supplement.image_lifestyle [single_line_text_field]
omega-3-algae-oil,"Omega-3 Algae Oil","<p>Vegan omega-3 algae oil food supplement in softgels.</p><p><strong>Draft daily portion:</strong> two softgels.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,omega 3,algae oil,vegan,softgels",FALSE,"Title","Default Title","DH-ALGAE-011",50,"shopify",100,"deny","manual",22.95,TRUE,TRUE,,"Omega-3 Algae Oil | Double Helix","Vegan omega-3 algae oil food supplement. 60 softgels.",DRAFT,"60 vegan softgels",30,"2 softgels","Algae oil (Schizochytrium sp.), softgel shell (modified starch, glycerol, carrageenan), antioxidant (mixed tocopherols).","None declared.","Consult a healthcare professional before use if taking anticoagulant medication or before surgery.","double-helix-omega-3-algae-oil-packshot.png","double-helix-omega-3-algae-oil-lifestyle.png"
daily-probiotic,"Daily Probiotic","<p>Probiotic culture food supplement in capsules.</p><p><strong>Draft daily portion:</strong> one capsule.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,gut health,probiotic,vegan",FALSE,"Title","Default Title","DH-PRO-012",30,"shopify",100,"deny","manual",19.95,TRUE,TRUE,,"Daily Probiotic | Double Helix","Probiotic culture food supplement. 30 capsules.",DRAFT,"30 vegan capsules",30,"1 capsule","Proprietary probiotic culture blend (Lactobacillus and Bifidobacterium species), rice flour, capsule shell (hydroxypropyl methylcellulose), anti-caking agent (magnesium salts of fatty acids).","None declared.","Seek professional advice before use if immunocompromised, pregnant, breastfeeding, or under medical supervision.","double-helix-daily-probiotic-packshot.png","double-helix-daily-probiotic-lifestyle.png"
prebiotic-fibre,"Prebiotic Fibre","<p>Prebiotic fibre food supplement powder.</p><p><strong>Draft daily portion:</strong> one 8 g scoop mixed into a cold drink or food.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,gut health,prebiotic,fibre,vegan",FALSE,"Title","Default Title","DH-FIBRE-013",280,"shopify",100,"deny","manual",15.95,TRUE,TRUE,,"Prebiotic Fibre | Double Helix","Prebiotic fibre food supplement powder. 240 g.",DRAFT,"240 g powder",30,"8 g scoop","Chicory root inulin.","None declared.","Introduce gradually. Excessive consumption may cause digestive discomfort.","double-helix-prebiotic-fibre-packshot.png","double-helix-prebiotic-fibre-lifestyle.png"
marine-collagen,"Marine Collagen","<p>Hydrolysed marine collagen food supplement powder.</p><p><strong>Draft daily portion:</strong> one 8 g scoop mixed into a cold or warm drink.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,collagen,marine collagen,beauty",FALSE,"Title","Default Title","DH-COLL-014",280,"shopify",100,"deny","manual",24.95,TRUE,TRUE,,"Marine Collagen | Double Helix","Hydrolysed marine collagen food supplement powder. 240 g.",DRAFT,"240 g powder",30,"8 g scoop","Hydrolysed marine collagen peptides (FISH).","Contains FISH.","Not suitable for vegetarians or vegans. Consult a healthcare professional before use if pregnant or breastfeeding.","double-helix-marine-collagen-packshot.png","double-helix-marine-collagen-lifestyle.png"
creatine-monohydrate,"Creatine Monohydrate","<p>Creatine monohydrate food supplement powder.</p><p><strong>Draft daily portion:</strong> one 3 g scoop mixed with water or a cold drink.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,performance,creatine,vegan",FALSE,"Title","Default Title","DH-CREA-015",320,"shopify",100,"deny","manual",21.95,TRUE,TRUE,,"Creatine Monohydrate | Double Helix","Creatine monohydrate food supplement powder. 300 g.",DRAFT,"300 g powder",100,"3 g scoop","Creatine monohydrate.","None declared.","For adult use only. Consult a healthcare professional before use if pregnant, breastfeeding, taking medication, or under medical supervision.","double-helix-creatine-monohydrate-packshot.png","double-helix-creatine-monohydrate-lifestyle.png"
whey-protein-vanilla,"Whey Protein Vanilla","<p>Vanilla whey protein food supplement powder.</p><p><strong>Draft daily portion:</strong> one 25 g scoop mixed with 200–300 ml water or milk.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,performance,whey protein,vanilla",FALSE,"Title","Default Title","DH-WHEY-016",800,"shopify",100,"deny","manual",29.95,TRUE,TRUE,,"Whey Protein Vanilla | Double Helix","Vanilla whey protein food supplement powder. 750 g.",DRAFT,"750 g powder",30,"25 g scoop","Whey protein concentrate (MILK), natural flavouring, sunflower lecithin, sweetener (steviol glycosides).","Contains MILK.","Use as part of a varied, balanced diet and healthy lifestyle. Not suitable for individuals with a milk allergy.","double-helix-whey-protein-vanilla-packshot.png","double-helix-whey-protein-vanilla-lifestyle.png"
plant-protein-chocolate,"Plant Protein Chocolate","<p>Chocolate-flavoured plant protein food supplement powder.</p><p><strong>Draft daily portion:</strong> one 25 g scoop mixed with 200–300 ml water or plant-based drink.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,performance,plant protein,chocolate,vegan",FALSE,"Title","Default Title","DH-PLANT-017",800,"shopify",100,"deny","manual",27.95,TRUE,TRUE,,"Plant Protein Chocolate | Double Helix","Chocolate plant protein food supplement powder. 750 g.",DRAFT,"750 g powder",30,"25 g scoop","Pea protein isolate, rice protein, cocoa powder, natural flavouring, sunflower lecithin, sweetener (steviol glycosides).","None declared.","Use as part of a varied, balanced diet and healthy lifestyle.","double-helix-plant-protein-chocolate-packshot.png","double-helix-plant-protein-chocolate-lifestyle.png"
electrolyte-citrus,"Electrolyte Citrus","<p>Citrus electrolyte food supplement powder.</p><p><strong>Draft daily portion:</strong> one 10 g scoop mixed with 500 ml water.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,performance,electrolyte,citrus,vegan",FALSE,"Title","Default Title","DH-ELEC-018",330,"shopify",100,"deny","manual",18.95,TRUE,TRUE,,"Electrolyte Citrus | Double Helix","Citrus electrolyte food supplement powder. 300 g.",DRAFT,"300 g powder",30,"10 g scoop","Coconut water powder, citric acid, sodium citrate, potassium citrate, magnesium citrate, natural citrus flavouring, sweetener (steviol glycosides).","None declared.","For adult use only. Consult a healthcare professional before use if you have kidney disease or follow a potassium-restricted diet.","double-helix-electrolyte-citrus-packshot.png","double-helix-electrolyte-citrus-lifestyle.png"
turmeric-curcumin,"Turmeric Curcumin","<p>Turmeric root extract food supplement in capsules.</p><p><strong>Draft daily portion:</strong> one capsule.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,botanical,turmeric,curcumin,vegan",FALSE,"Title","Default Title","DH-TURM-019",45,"shopify",100,"deny","manual",16.95,TRUE,TRUE,,"Turmeric Curcumin | Double Helix","Turmeric root extract food supplement. 60 capsules.",DRAFT,"60 vegan capsules",60,"1 capsule","Turmeric root extract (Curcuma longa), capsule shell (hydroxypropyl methylcellulose), black pepper extract, rice flour, anti-caking agent (magnesium salts of fatty acids).","None declared.","Not recommended for people with gallbladder disease or those taking anticoagulant medication. Consult a healthcare professional before use if pregnant or breastfeeding.","double-helix-turmeric-curcumin-packshot.png","double-helix-turmeric-curcumin-lifestyle.png"
glucosamine-msm,"Glucosamine + MSM","<p>Glucosamine and MSM food supplement in tablets.</p><p><strong>Draft daily portion:</strong> three tablets.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,targeted,glucosamine,msm",FALSE,"Title","Default Title","DH-JOINT-020",90,"shopify",100,"deny","manual",18.95,TRUE,TRUE,,"Glucosamine + MSM | Double Helix","Glucosamine and MSM food supplement. 90 tablets.",DRAFT,"90 tablets",30,"3 tablets","Glucosamine hydrochloride (CRUSTACEANS), methylsulfonylmethane (MSM), bulking agent (microcrystalline cellulose), anti-caking agents (magnesium salts of fatty acids, silicon dioxide).","Contains CRUSTACEANS.","Not suitable for people with a crustacean allergy. Consult a healthcare professional before use if taking anticoagulant medication, pregnant, or breastfeeding.","double-helix-glucosamine-msm-packshot.png","double-helix-glucosamine-msm-lifestyle.png"
